ENDPOINT;METODO_JAVA;ASSINATURA_COMPLETA
/agendamento/{ctx}/historico;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.historico(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.historico(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Integer)
/agendamento/{ctx}/submit;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.submit(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.submit(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
/agendamento/{ctx}/todos;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.todos(java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.todos(java.lang.String,java.lang.String,java.lang.String)
/agendamento/{ctx}/validarAcessoProdutoCredito;br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.validarAcessoProdutoCredito(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.agendamento.AgendamentoJSONControle.validarAcessoProdutoCredito(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/agendamento/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerAgendamento(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerAgendamento(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/agendamento/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarAgendamento(java.lang.String,java.lang.Integer,br.com.pacto.controller.json.agendamento.AgendamentoPersonalDTO,javax.servlet.http.HttpServletRequest);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarAgendamento(java.lang.String,java.lang.Integer,br.com.pacto.controller.json.agendamento.AgendamentoPersonalDTO,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/alunosTurma;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alunosTurma(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alunosTurma(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/app/consultarTurmasDisponiveis;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarTurmasDisponiveisApp(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarTurmasDisponiveisApp(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)
/alunoTurma/{ctx}/aulasConfirmadas;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.aulasConfirmadasPorAluno(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,br.com.pacto.base.dto.PaginadorDTO);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.aulasConfirmadasPorAluno(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,br.com.pacto.base.dto.PaginadorDTO)
/alunoTurma/{ctx}/consultarAulas;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulas(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulas(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String)
/alunoTurma/{ctx}/consultarAulasDesmarcadas;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasDesmarcadas(java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasDesmarcadas(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/consultarAulasModalidadeAluno;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasModalidadeAluno(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasModalidadeAluno(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/consultarAulasPorDia;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasPorDia(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarAulasPorDia(java.lang.String,java.lang.Integer,java.lang.String,java.lang.String)
/alunoTurma/{ctx}/consultarTurmasAluno;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarTurmasAluno(java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarTurmasAluno(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/criar-agendamento;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarAgendamento(java.lang.String,br.com.pacto.controller.json.agendamento.AgendamentoPersonalDTO,javax.servlet.http.HttpServletRequest);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarAgendamento(java.lang.String,br.com.pacto.controller.json.agendamento.AgendamentoPersonalDTO,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/desmarcarAula;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.desmarcarAula(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.desmarcarAula(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/desmarcarEuQueroHorario;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.desmarcarEuQueroHorario(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.desmarcarEuQueroHorario(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String)
/alunoTurma/{ctx}/disponibilidades;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.disponibilidades(java.lang.String,java.lang.Integer,java.lang.String,br.com.pacto.controller.json.agendamento.PeriodoFiltrarEnum,java.lang.Boolean,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.disponibilidades(java.lang.String,java.lang.Integer,java.lang.String,br.com.pacto.controller.json.agendamento.PeriodoFiltrarEnum,java.lang.Boolean,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/extrato;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.extrato(java.lang.String,java.lang.Integer,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.extrato(java.lang.String,java.lang.Integer,java.lang.String)
/alunoTurma/{ctx}/frequencia/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarFrequenciaAluno(java.lang.String,java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletRequest);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarFrequenciaAluno(java.lang.String,java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletRequest)
/alunoTurma/{ctx}/horariosSugeridos;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.horariosSugeridos(java.lang.String,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.horariosSugeridos(java.lang.String,java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/marcarAula;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.marcarAula(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.marcarAula(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/marcarEuQueroHorario;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.marcarEuQueroHorario(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.marcarEuQueroHorario(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.String)
/alunoTurma/{ctx}/objetivos/by-codigo/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivo(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivo(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivos/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerObjetivo(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerObjetivo(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivos/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarObjetivo(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarObjetivo(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoAlunoDTO)
/alunoTurma/{ctx}/objetivos/{id}/concluir;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.concluirObjetivo(java.lang.String,java.lang.Integer,java.lang.String,java.lang.Boolean,java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.concluirObjetivo(java.lang.String,java.lang.Integer,java.lang.String,java.lang.Boolean,java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivos/{matricula};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarObjetivo(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarObjetivo(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoAlunoDTO)
/alunoTurma/{ctx}/objetivos/{matricula};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivos(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Boolean);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivos(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Boolean)
/alunoTurma/{ctx}/objetivosIntermediarios;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarObjetivoIntermediario(java.lang.String,br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarObjetivoIntermediario(java.lang.String,br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO)
/alunoTurma/{ctx}/objetivosIntermediarios/descricao/{idDescricao};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivosIntermediarios/lista;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarListaObjetivoIntermediario(java.lang.String,java.util.List<br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO>);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarListaObjetivoIntermediario(java.lang.String,java.util.List<br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO>)
/alunoTurma/{ctx}/objetivosIntermediarios/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivoIntermediario(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.objetivoIntermediario(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivosIntermediarios/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarObjetivoIntermediario(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarObjetivoIntermediario(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.ObjetivoIntermediarioAlunoDTO)
/alunoTurma/{ctx}/objetivosIntermediarios/{id};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerObjetivoIntermediario(java.lang.String,java.lang.Integer);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.removerObjetivoIntermediario(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/objetivosIntermediarios/{id}/descricao;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.DescricaoObjetivoIntermediarioAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.criarDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer,br.com.pacto.bean.programa.DescricaoObjetivoIntermediarioAlunoDTO)
/alunoTurma/{ctx}/objetivosIntermediarios/{id}/descricao/{idDescricao};br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer,java.lang.Integer,br.com.pacto.bean.programa.DescricaoObjetivoIntermediarioAlunoDTO);public org.springframework.http.ResponseEntity<br.com.pacto.base.dto.EnvelopeRespostaDTO> br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.alterarDescricaoObjetivoIntermediario(java.lang.String,java.lang.Integer,java.lang.Integer,br.com.pacto.bean.programa.DescricaoObjetivoIntermediarioAlunoDTO)
/alunoTurma/{ctx}/saldo-aulas-coletivas;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarSaldoAulasColetivas(java.lang.String,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.consultarSaldoAulasColetivas(java.lang.String,java.lang.Integer)
/alunoTurma/{ctx}/saldoAluno;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.saldoAluno(java.lang.String,java.lang.Integer,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.saldoAluno(java.lang.String,java.lang.Integer,java.lang.Integer)
/alunoTurma/{ctx}/saldoAlunoReporEMarcar;br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.saldoAlunoRepor(java.lang.String,java.lang.Integer,java.lang.Integer);public org.springframework.ui.ModelMap br.com.pacto.controller.json.aulaDia.AlunoTurmaJSONControle.saldoAlunoRepor(java.lang.String,java.lang.Integer,java.lang.Integer)
